




Analysis Type:	PANTHER Overrepresentation Test (Released 20240226)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.10536401 Released 2024-01-17
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (331)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
endodermal cell fate determination (GO:0007493)	2	2	.03	+	62.18	2.58E-04	1.64E-02
esophagus smooth muscle contraction (GO:0014846)	2	2	.03	+	62.18	2.58E-04	1.64E-02
positive regulation of tau-protein kinase activity (GO:1902949)	2	2	.03	+	62.18	2.58E-04	1.63E-02
negative regulation of growth hormone receptor signaling pathway (GO:0060400)	3	2	.05	+	41.45	7.65E-04	3.66E-02
positive regulation of cardiac muscle myoblast proliferation (GO:0110024)	3	2	.05	+	41.45	7.65E-04	3.65E-02
regulation of cardiac muscle myoblast proliferation (GO:0110022)	3	2	.05	+	41.45	7.65E-04	3.63E-02
regulation of AV node cell action potential (GO:0098904)	3	2	.05	+	41.45	7.65E-04	3.62E-02
chaperone-mediated autophagy (GO:0061684)	7	3	.11	+	26.65	1.38E-04	9.89E-03
regulation of transforming growth factor beta activation (GO:1901388)	10	4	.16	+	24.87	1.28E-05	1.44E-03
venous blood vessel morphogenesis (GO:0048845)	9	3	.14	+	20.73	3.22E-04	1.93E-02
negative regulation of inclusion body assembly (GO:0090084)	12	4	.19	+	20.73	2.94E-05	2.89E-03
positive regulation of epithelial tube formation (GO:1905278)	9	3	.14	+	20.73	3.22E-04	1.93E-02
regulation of epithelial tube formation (GO:1905276)	9	3	.14	+	20.73	3.22E-04	1.92E-02
endothelial cell morphogenesis (GO:0001886)	10	3	.16	+	18.65	4.55E-04	2.47E-02
AV node cell to bundle of His cell communication (GO:0086067)	10	3	.16	+	18.65	4.55E-04	2.46E-02
cell migration involved in sprouting angiogenesis (GO:0002042)	21	6	.34	+	17.76	7.32E-07	1.24E-04
protein refolding (GO:0042026)	25	7	.40	+	17.41	9.79E-08	2.37E-05
